kaithi,hindi
𑂍𑂪 𑂯𑂧 𑂥𑂰𑂔𑂰𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल हम बाजार जा रहा हूँ
𑂡𑂲𑂩𑂵 𑂩𑂰𑂧 𑂮𑂹𑂍𑂴𑂪 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे राम स्कूल पढ़ रहा हूँ
𑂍𑂪 𑂯𑂧 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल हम स्कूल जा रहा हूँ
𑂄𑂔 𑂫𑂯 𑂥𑂰𑂔𑂰𑂩 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,आज वह बाजार देख रहा हूँ
𑂍𑂪 𑂮𑂲𑂞𑂰 𑂎𑂰𑂢𑂰 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल सीता खाना खा रहा हूँ
𑂡𑂲𑂩𑂵 𑂞𑂳𑂧 𑂎𑂰𑂢𑂰 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे तुम खाना लिख रहा हूँ
𑂍𑂪 𑂯𑂧 𑂍𑂱𑂞𑂰𑂥 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,कल हम किताब लिख रहा हूँ
𑂄𑂔 𑂯𑂧 𑂮𑂹𑂍𑂴𑂪 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज हम स्कूल खा रहा हूँ
𑂍𑂪 𑂫𑂯 𑂮𑂹𑂍𑂴𑂪 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,कल वह स्कूल लिख रहा हूँ
𑂄𑂔 𑂮𑂲𑂞𑂰 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज सीता स्कूल जा रहा हूँ
𑂄𑂔 𑂩𑂰𑂧 𑂮𑂹𑂍𑂴𑂪 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,आज राम स्कूल देख रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂫𑂯 𑂎𑂰𑂢𑂰 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी वह खाना पढ़ रहा हूँ
𑂡𑂲𑂩𑂵 𑂮𑂲𑂞𑂰 𑂍𑂱𑂞𑂰𑂥 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे सीता किताब जा रहा हूँ
𑂃𑂦𑂲 𑂮𑂲𑂞𑂰 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी सीता स्कूल जा रहा हूँ
𑂍𑂪 𑂮𑂲𑂞𑂰 𑂍𑂱𑂞𑂰𑂥 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल सीता किताब जा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂯𑂧 𑂐𑂩 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी हम घर खा रहा हूँ
𑂍𑂪 𑂧𑂶𑂁 𑂥𑂰𑂔𑂰𑂩 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,कल मैं बाजार देख रहा हूँ
𑂡𑂲𑂩𑂵 𑂧𑂶𑂁 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे मैं स्कूल जा रहा हूँ
𑂄𑂔 𑂧𑂶𑂁 𑂐𑂩 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,आज मैं घर देख रहा हूँ
𑂡𑂲𑂩𑂵 𑂮𑂲𑂞𑂰 𑂍𑂱𑂞𑂰𑂥 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे सीता किताब पढ़ रहा हूँ
𑂃𑂦𑂲 𑂫𑂯 𑂥𑂰𑂔𑂰𑂩 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी वह बाजार देख रहा हूँ
𑂃𑂦𑂲 𑂩𑂰𑂧 𑂎𑂰𑂢𑂰 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी राम खाना पढ़ रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂩𑂰𑂧 𑂥𑂰𑂔𑂰𑂩 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी राम बाजार लिख रहा हूँ
𑂡𑂲𑂩𑂵 𑂯𑂧 𑂐𑂩 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे हम घर लिख रहा हूँ
𑂡𑂲𑂩𑂵 𑂯𑂧 𑂎𑂰𑂢𑂰 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे हम खाना पढ़ रहा हूँ
𑂄𑂔 𑂯𑂧 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज हम स्कूल जा रहा हूँ
𑂡𑂲𑂩𑂵 𑂩𑂰𑂧 𑂥𑂰𑂔𑂰𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे राम बाजार जा रहा हूँ
𑂃𑂦𑂲 𑂧𑂶𑂁 𑂐𑂩 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी मैं घर देख रहा हूँ
𑂃𑂦𑂲 𑂫𑂯 𑂥𑂰𑂔𑂰𑂩 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी वह बाजार खा रहा हूँ
𑂍𑂪 𑂫𑂯 𑂐𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल वह घर जा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂞𑂳𑂧 𑂎𑂰𑂢𑂰 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी तुम खाना देख रहा हूँ
𑂃𑂦𑂲 𑂮𑂲𑂞𑂰 𑂐𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी सीता घर जा रहा हूँ
𑂃𑂦𑂲 𑂞𑂳𑂧 𑂥𑂰𑂔𑂰𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी तुम बाजार जा रहा हूँ
𑂃𑂦𑂲 𑂞𑂳𑂧 𑂥𑂰𑂔𑂰𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी तुम बाजार जा रहा हूँ
𑂄𑂔 𑂧𑂶𑂁 𑂍𑂱𑂞𑂰𑂥 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज मैं किताब खा रहा हूँ
𑂡𑂲𑂩𑂵 𑂞𑂳𑂧 𑂥𑂰𑂔𑂰𑂩 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे तुम बाजार लिख रहा हूँ
𑂄𑂔 𑂯𑂧 𑂎𑂰𑂢𑂰 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,आज हम खाना लिख रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂯𑂧 𑂥𑂰𑂔𑂰𑂩 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी हम बाजार पढ़ रहा हूँ
𑂃𑂦𑂲 𑂞𑂳𑂧 𑂮𑂹𑂍𑂴𑂪 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी तुम स्कूल पढ़ रहा हूँ
𑂍𑂪 𑂮𑂲𑂞𑂰 𑂐𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल सीता घर जा रहा हूँ
𑂄𑂔 𑂯𑂧 𑂎𑂰𑂢𑂰 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,आज हम खाना लिख रहा हूँ
𑂄𑂔 𑂮𑂲𑂞𑂰 𑂥𑂰𑂔𑂰𑂩 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज सीता बाजार खा रहा हूँ
𑂃𑂦𑂲 𑂫𑂯 𑂍𑂱𑂞𑂰𑂥 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी वह किताब देख रहा हूँ
𑂍𑂪 𑂮𑂲𑂞𑂰 𑂥𑂰𑂔𑂰𑂩 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,कल सीता बाजार लिख रहा हूँ
𑂃𑂦𑂲 𑂮𑂲𑂞𑂰 𑂎𑂰𑂢𑂰 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी सीता खाना लिख रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂮𑂲𑂞𑂰 𑂮𑂹𑂍𑂴𑂪 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी सीता स्कूल खा रहा हूँ
𑂃𑂦𑂲 𑂫𑂯 𑂐𑂩 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी वह घर देख रहा हूँ
𑂃𑂦𑂲 𑂧𑂶𑂁 𑂮𑂹𑂍𑂴𑂪 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी मैं स्कूल लिख रहा हूँ
𑂍𑂪 𑂯𑂧 𑂐𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल हम घर जा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂧𑂶𑂁 𑂮𑂹𑂍𑂴𑂪 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी मैं स्कूल लिख रहा हूँ
𑂡𑂲𑂩𑂵 𑂫𑂯 𑂮𑂹𑂍𑂴𑂪 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे वह स्कूल पढ़ रहा हूँ
𑂄𑂔 𑂧𑂶𑂁 𑂍𑂱𑂞𑂰𑂥 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज मैं किताब जा रहा हूँ
𑂃𑂦𑂲 𑂧𑂶𑂁 𑂐𑂩 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी मैं घर देख रहा हूँ
𑂡𑂲𑂩𑂵 𑂧𑂶𑂁 𑂐𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे मैं घर जा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂞𑂳𑂧 𑂐𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी तुम घर जा रहा हूँ
𑂄𑂔 𑂯𑂧 𑂍𑂱𑂞𑂰𑂥 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज हम किताब जा रहा हूँ
𑂡𑂲𑂩𑂵 𑂧𑂶𑂁 𑂎𑂰𑂢𑂰 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे मैं खाना देख रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂩𑂰𑂧 𑂎𑂰𑂢𑂰 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी राम खाना लिख रहा हूँ
𑂍𑂪 𑂫𑂯 𑂎𑂰𑂢𑂰 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल वह खाना खा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂩𑂰𑂧 𑂥𑂰𑂔𑂰𑂩 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी राम बाजार खा रहा हूँ
𑂡𑂲𑂩𑂵 𑂮𑂲𑂞𑂰 𑂥𑂰𑂔𑂰𑂩 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे सीता बाजार देख रहा हूँ
𑂍𑂪 𑂫𑂯 𑂍𑂱𑂞𑂰𑂥 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,कल वह किताब पढ़ रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂯𑂧 𑂮𑂹𑂍𑂴𑂪 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी हम स्कूल खा रहा हूँ
𑂍𑂪 𑂫𑂯 𑂐𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल वह घर जा रहा हूँ
𑂄𑂔 𑂧𑂶𑂁 𑂥𑂰𑂔𑂰𑂩 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज मैं बाजार खा रहा हूँ
𑂄𑂔 𑂯𑂧 𑂥𑂰𑂔𑂰𑂩 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,आज हम बाजार देख रहा हूँ
𑂄𑂔 𑂩𑂰𑂧 𑂍𑂱𑂞𑂰𑂥 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,आज राम किताब लिख रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂯𑂧 𑂍𑂱𑂞𑂰𑂥 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी हम किताब खा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂞𑂳𑂧 𑂥𑂰𑂔𑂰𑂩 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी तुम बाजार पढ़ रहा हूँ
𑂄𑂔 𑂩𑂰𑂧 𑂮𑂹𑂍𑂴𑂪 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,आज राम स्कूल पढ़ रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂫𑂯 𑂐𑂩 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी वह घर पढ़ रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂯𑂧 𑂎𑂰𑂢𑂰 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी हम खाना देख रहा हूँ
𑂡𑂲𑂩𑂵 𑂫𑂯 𑂥𑂰𑂔𑂰𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे वह बाजार जा रहा हूँ
𑂃𑂦𑂲 𑂧𑂶𑂁 𑂥𑂰𑂔𑂰𑂩 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी मैं बाजार देख रहा हूँ
𑂃𑂦𑂲 𑂮𑂲𑂞𑂰 𑂐𑂩 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी सीता घर देख रहा हूँ
𑂄𑂔 𑂩𑂰𑂧 𑂥𑂰𑂔𑂰𑂩 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज राम बाजार खा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂯𑂧 𑂍𑂱𑂞𑂰𑂥 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी हम किताब लिख रहा हूँ
𑂡𑂲𑂩𑂵 𑂩𑂰𑂧 𑂎𑂰𑂢𑂰 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे राम खाना जा रहा हूँ
𑂡𑂲𑂩𑂵 𑂫𑂯 𑂎𑂰𑂢𑂰 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे वह खाना पढ़ रहा हूँ
𑂡𑂲𑂩𑂵 𑂫𑂯 𑂍𑂱𑂞𑂰𑂥 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे वह किताब देख रहा हूँ
𑂍𑂪 𑂞𑂳𑂧 𑂍𑂱𑂞𑂰𑂥 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,कल तुम किताब पढ़ रहा हूँ
𑂡𑂲𑂩𑂵 𑂧𑂶𑂁 𑂐𑂩 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे मैं घर लिख रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂩𑂰𑂧 𑂎𑂰𑂢𑂰 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी राम खाना देख रहा हूँ
𑂃𑂦𑂲 𑂯𑂧 𑂥𑂰𑂔𑂰𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी हम बाजार जा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂫𑂯 𑂥𑂰𑂔𑂰𑂩 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी वह बाजार पढ़ रहा हूँ
𑂍𑂪 𑂩𑂰𑂧 𑂍𑂱𑂞𑂰𑂥 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,कल राम किताब देख रहा हूँ
𑂡𑂲𑂩𑂵 𑂮𑂲𑂞𑂰 𑂐𑂩 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे सीता घर खा रहा हूँ
𑂄𑂔 𑂩𑂰𑂧 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज राम स्कूल जा रहा हूँ
𑂍𑂪 𑂯𑂧 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल हम स्कूल जा रहा हूँ
𑂍𑂪 𑂩𑂰𑂧 𑂐𑂩 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल राम घर खा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂮𑂲𑂞𑂰 𑂎𑂰𑂢𑂰 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी सीता खाना देख रहा हूँ
𑂄𑂔 𑂮𑂲𑂞𑂰 𑂐𑂩 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज सीता घर खा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂞𑂳𑂧 𑂍𑂱𑂞𑂰𑂥 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी तुम किताब जा रहा हूँ
𑂍𑂪 𑂯𑂧 𑂥𑂰𑂔𑂰𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल हम बाजार जा रहा हूँ
𑂃𑂦𑂲 𑂮𑂲𑂞𑂰 𑂍𑂱𑂞𑂰𑂥 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी सीता किताब जा रहा हूँ
𑂃𑂦𑂲 𑂞𑂳𑂧 𑂐𑂩 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी तुम घर पढ़ रहा हूँ
𑂃𑂦𑂲 𑂩𑂰𑂧 𑂍𑂱𑂞𑂰𑂥 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी राम किताब पढ़ रहा हूँ
